JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,col_12,col_13,col_14
1,3EV INDUSTRIES PVT LTD,0,0,1,1,0,1,0,1,0,0,0,2,6
2,3GB TECHNOLOGY PVT LTD,12,6,7,5,1,6,5,8,5,9,9,15,88
3,3S INDUSTRIES PRIVATE LIMITED,1,0,0,0,0,0,1,2,0,0,1,1,6
4,A1 HEAVY EQUIPMENTS DEVELOPER,2,1,0,2,1,3,1,1,2,3,4,0,20
5,A-1 SUREJA INDUSTRIES,0,0,0,0,0,0,0,0,0,0,0,1,1
6,A3T INCORPORTED,1,4,0,1,0,2,8,1,2,2,0,2,23
7,AADESH INDUSTRIES,1,0,0,1,1,0,0,0,0,2,3,0,8
8,AADHYA ENTERPRISES,4,3,1,5,3,6,6,3,6,10,4,2,53
9,AADITYA EMOTORS INDIA PVT LTD,4,3,8,1,1,2,2,1,0,3,1,1,27
10,AADITYA GARBAGE PRODUCTS PVT LTD,0,0,0,2,0,0,0,0,0,0,0,0,2
11,A AND Z MOTOR CO P LTD,0,3,1,2,1,2,1,1,1,0,1,2,15
12,AARGEE ELECTRIC,0,0,0,0,0,0,1,0,0,0,0,0,1
13,AARTI AGRO INDUSTRIES,0,1,1,2,1,0,0,1,0,0,0,0,6
14,AARYA AUTOMOBILES,0,0,1,0,1,0,0,0,0,0,0,0,2
15,AARYAN ENGG,0,0,0,0,0,0,0,0,1,0,0,0,1
16,AASHI INDIA AUTOMOBILES PVT LTD,1,0,1,2,0,0,0,2,0,0,1,0,7
17,A B EXCAVATORS & EARTHMOVER LTD,1,2,2,0,0,1,0,0,0,0,1,2,9
18,A B EXCAVATORS & EARTHMOVERS PVT LTD,0,1,0,3,0,2,0,0,1,0,1,0,8
19,ABHAY AGRO INDUSTRIES,0,0,0,0,0,0,0,0,0,0,4,0,4
20,ABHISHEK ENGINEERING WORKS,2,4,2,0,2,6,8,11,7,5,12,7,66
21,A B K AGRO INDUSTRIES,1,0,0,0,0,0,0,0,0,1,0,0,2
22,A B K ENGINEERING CO.,0,1,0,1,0,0,0,0,0,0,0,0,2
23,ABRA MOTORS PVT LTD,0,0,1,0,0,0,1,0,0,0,0,0,2
24,ACC CRANE,0,0,0,0,0,0,0,0,0,0,0,1,1
25,ACCRETION POWER AUTOS,1,0,0,1,0,1,0,0,0,1,0,0,4
