SourceFile,S No,Maker,Month Wise,TOTAL,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Maker_Month_Wise_NA_2020.csv,1,3GB TECHNOLOGY PVT LTD,0,3,1,0,0,0,0,1,0,0,0,0,5,
Maker_Month_Wise_NA_2020.csv,2,3S INDUSTRIES PRIVATE LIMITED,41,38,23,1,1,1,6,1,9,6,10,5,142,
Maker_Month_Wise_NA_2020.csv,3,A1 HEAVY EQUIPMENTS DEVELOPER,8,4,3,5,1,1,0,3,0,1,1,10,37,
Maker_Month_Wise_NA_2020.csv,4,A3T INCORPORTED,3,3,4,0,0,0,0,0,0,0,0,1,11,
Maker_Month_Wise_NA_2020.csv,5,AADHYA ENTERPRISES,20,21,25,1,0,0,0,0,0,1,1,0,69,
Maker_Month_Wise_NA_2020.csv,6,AADITYA EMOTORS INDIA PVT LTD,8,4,2,0,0,0,0,0,0,0,0,0,14,
Maker_Month_Wise_NA_2020.csv,7,AADITYA GARBAGE PRODUCTS PVT LTD,1,0,0,0,0,0,0,0,0,1,0,0,2,
Maker_Month_Wise_NA_2020.csv,8,AAHANA COMMERCE PVT LTD,0,0,0,0,0,5,0,2,23,8,2,21,61,
Maker_Month_Wise_NA_2020.csv,9,AARYA AUTOMOBILES,0,0,0,0,0,0,0,0,0,1,0,0,1,
Maker_Month_Wise_NA_2020.csv,10,AASHI INDIA AUTOMOBILES PVT LTD,1,3,7,4,0,0,0,0,0,0,0,0,15,
Maker_Month_Wise_NA_2020.csv,11,A.B. AGRO ENGINEERING WORKS,0,0,0,0,0,0,0,0,1,0,0,0,1,
Maker_Month_Wise_NA_2020.csv,12,A B EXCAVATORS & EARTHMOVER LTD,1,0,0,0,0,0,0,1,7,0,1,0,10,
Maker_Month_Wise_NA_2020.csv,13,A B EXCAVATORS & EARTHMOVERS PVT LTD,1,0,0,0,0,0,0,0,0,0,0,0,1,
Maker_Month_Wise_NA_2020.csv,14,ACCRETION POWER AUTOS,30,30,13,0,0,3,2,9,8,11,5,5,116,
Maker_Month_Wise_NA_2020.csv,15,ACTION CONSTRUCTION EQUIPMENT LTD.,603,649,761,116,75,352,448,478,631,485,471,576,5645,
Maker_Month_Wise_NA_2020.csv,16,A D AGRO WORKS,7,10,9,0,0,0,2,4,11,4,6,7,60,
Maker_Month_Wise_NA_2020.csv,17,ADAPT MOTORS PVT LTD,2,1,1,0,0,0,0,0,0,0,0,0,4,
Maker_Month_Wise_NA_2020.csv,18,ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,128,69,76,13,1,56,296,822,89,64,109,161,1884,
Maker_Month_Wise_NA_2020.csv,19,ADIDEV TECHNOA PVT LTD,1,0,0,0,0,0,0,0,8,1,4,0,14,
Maker_Month_Wise_NA_2020.csv,20,ADISHAKTI TRACTORS,1,0,1,0,0,0,1,5,2,3,0,4,17,
Maker_Month_Wise_NA_2020.csv,21,ADISHWAR AUTO RIDE INDIA PVT.LTD,0,0,1,0,0,0,0,0,0,1,0,0,2,
Maker_Month_Wise_NA_2020.csv,22,ADISHWAR AUTO RIDE INDIA PVT LTD,372,467,804,191,0,0,0,26,199,204,186,161,2610,
Maker_Month_Wise_NA_2020.csv,23,ADITYA AGRO INDUSTRIES,1,0,3,0,0,0,5,8,4,5,9,1,36,
Maker_Month_Wise_NA_2020.csv,24,ADITYA ENTERPRISES,2,0,0,0,0,0,0,0,0,0,0,0,2,
Maker_Month_Wise_NA_2020.csv,25,ADITYA SAI INDUSTRIES,10,29,2,0,0,1,3,3,6,4,9,8,75,
Maker_Month_Wise_NA_2024.csv,1,3EV INDUSTRIES PVT LTD,49,2,0,0,0,0,0,19,0,0,0,0,70,
Maker_Month_Wise_NA_2024.csv,2,3S INDUSTRIES PRIVATE LIMITED,92,92,70,39,89,83,107,114,135,153,124,176,1274,
Maker_Month_Wise_NA_2024.csv,3,A1 HEAVY EQUIPMENTS DEVELOPER,1,3,3,1,1,1,0,3,1,2,0,1,17,
Maker_Month_Wise_NA_2024.csv,4,A-1 SUREJA INDUSTRIES,0,0,1,0,1,0,0,0,3,2,1,0,8,
Maker_Month_Wise_NA_2024.csv,5,AADHYA ENTERPRISES,58,67,28,43,38,25,47,55,58,45,67,40,571,
